date,crypto_7_index,nasdaq_10_index,crypto_7_ma8,crypto_7_ma21,nasdaq_10_ma8,nasdaq_10_ma21,crypto_7_return,nasdaq_10_return,year,month,year_month
2024-04-25,2945.606452526253,2793.20313907637,2976.138630389223,3090.941618001152,2789.1521518068,2894.181501264188,-0.0026826155006912655,-0.004545072404200545,2024,4,2024-04
2024-04-26,2885.693908069297,2835.7661382782653,2979.41273003364,3072.056671043007,2784.547119349262,2886.5958943380747,-0.020339629690033223,0.015238060779199092,2024,4,2024-04
2024-04-27,2910.6553606717343,2835.7661382782653,2983.4582859206703,3051.230014060619,2784.547119349262,2886.5958943380747,0.008650069410562677,0.0,2024,4,2024-04
2024-04-28,2889.6497421017125,2835.7661382782653,2967.337010148087,3026.1719581985926,2784.547119349262,2886.5958943380747,-0.007216800330896667,0.0,2024,4,2024-04
2024-04-29,2863.2929412850813,2875.6420483158818,2951.192881146593,2994.926467729614,2791.332063000378,2881.3611053539107,-0.009121105728703727,0.014061776639249679,2024,4,2024-04
2024-04-30,2720.620179069153,2806.6975809400246,2903.856068543882,2963.8056696970634,2792.075873003668,2871.6930153313306,-0.04982821008593519,-0.023975330106274728,2024,4,2024-04
2024-05-01,2738.414902796969,2778.380694690796,2863.4328904290232,2931.0302528161083,2800.6732378441093,2862.2680667402137,0.006540686518727634,-0.010089040743657351,2024,5,2024-05
2024-05-02,2791.419007869732,2842.985996394038,2843.169061798741,2902.328224467852,2814.444571002032,2856.140815189505,0.019355761253937676,0.023252861577499395,2024,5,2024-05
2024-05-03,2917.097877194299,2899.516316615215,2839.605489882247,2893.8427808461947,2829.768541056533,2855.3072877889954,0.04502329065262001,0.01988413600801353,2024,5,2024-05
2024-05-04,2960.7022755447906,2899.516316615215,2848.981535816684,2900.7875718626506,2829.768541056533,2855.3072877889954,0.014947869487475174,0.0,2024,5,2024-05
2024-05-05,2975.906259152973,2899.516316615215,2857.1378981268385,2901.440273315633,2829.768541056533,2855.3072877889954,0.005135262580694411,0.0,2024,5,2024-05
2024-05-06,2951.8292188335786,2947.984884080042,2864.910332718322,2905.142466683221,2847.522099798829,2855.4372245221684,-0.008090658180290644,0.016716087158084036,2024,5,2024-05
2024-05-07,2881.580826880336,2929.114077884597,2867.1963184177293,2907.1136253480663,2864.510967149857,2854.3712204109347,-0.023798257536389977,-0.006401256091017493,2024,5,2024-05
2024-05-08,2851.566205482059,2915.9407323032383,2883.564571719342,2911.787511812643,2874.532791402979,2851.9984371931414,-0.010416026202801909,-0.004497382222433788,2024,5,2024-05
2024-05-09,2946.5840887174795,2913.754526289779,2909.5857199594057,2915.934320279477,2879.2968511497165,2850.9452710049395,0.033321296574756465,-0.0007497429523311006,2024,5,2024-05
